sysnames, ref,  LDA, PBEsol, PBE, RPBE, revTPSS, oTPSS, TPSS, MS0, MS2, mBEEF, vdW-DF, vdW-DF2, optPBE-vdW, C09-vdW, optB88-vdW, BEEF-vdW, mBEEF-vdW
Mo_bcc, 3.141, -0.01865047401, -0.00086712321, 0.02668485952, 0.04023789799, 0.01016953792, 0.02849154188, 0.01817957202, 0.01020050967, 0.00793102357, -0.00610103536, 0.07441015337, 0.09132533845, 0.05228940753, 0.01749607977, 0.044872444, 0.04509384435, -0.00671542022
W_bcc, 3.161, 0.0007885137, 0.01719285835, 0.04318789295, 0.05447071053, 0.01738322516, 0.03379649447, 0.0308814217, 0.01303611877, 0.01380687576, -0.00378330847, 0.08573695495, 0.10607687006, 0.06670001171, 0.03634210089, 0.05995722399, 0.06226061877, -0.00714101022
Fe_bcc, 2.855, -0.09402630228, -0.05396525934, -0.01526752793, 0.01456179942, -0.04958889001, -0.03378172411, -0.04320845023, -0.04244928515, -0.04815818713, 0.01311131552, 0.06053171216, 0.06007933443, 0.01755629628, -0.03145206697, 0.00191731774, 0.02213939598, -0.00738299908
Rh_fcc, 3.793, -0.00616900579, 0.01687540478, 0.06154915542, 0.08326630115, 0.02130182662, 0.04363320983, 0.03210710249, 0.01423158791, 0.01841901831, 0.00918835704, 0.14484911738, 0.18170648099, 0.10485997669, 0.04515629814, 0.0935989224, 0.10035725516, -0.00905263594
Ir_fcc, 3.832, 0.00045384004, 0.01891076973, 0.05665012672, 0.07204577951, 0.01782525037, 0.03293986198, 0.03423511773, 0.00359903855, 0.01099608601, -0.01001056945, 0.12600068006, 0.1700689919, 0.09405556224, 0.04159915472, 0.08764706386, 0.0766100894, -0.02546209546
Ni_fcc, 3.509, -0.07982573881, -0.04176530722, 0.01075894529, 0.04399276455, -0.05404363788, -0.02467833891, -0.03574599905, -0.02839700907, -0.03695726255, -0.03012456992, 0.08979406142, 0.111454348, 0.04674957772, -0.02067946811, 0.02915683167, 0.04322142225, -0.06347980223
Pd_fcc, 3.876, -0.02416696315, 0.01000671133, 0.07308018462, 0.11023960743, 0.00389337894, 0.03881575877, 0.02633485291, 0.01233739723, 0.01058700758, 0.02339686562, 0.17866544279, 0.22734856541, 0.11713381488, 0.0393945441, 0.09805133098, 0.12920001097, -0.02237533828
Pt_fcc, 3.913, -0.00135027417, 0.02072438477, 0.06837451242, 0.09006911638, 0.01638273291, 0.03635635443, 0.03695463732, 0.00304935086, 0.01093106615, -0.00201609978, 0.16053227506, 0.21802769125, 0.11743322047, 0.05244644191, 0.1075287158, 0.10757150829, -0.0236521353
Cu_fcc, 3.595, -0.06586069575, -0.01572033738, 0.0462930308, 0.09213858237, -0.03030110669, -0.00473067344, -0.00922535382, -0.02331503876, -0.0288336945, -0.00212455596, 0.16243534188, 0.18084739224, 0.10823642458, 0.02763861211, 0.08561943727, 0.10132094537, -0.04069596324
Ag_fcc, 4.063, -0.03772122796, 0.01245038423, 0.10139354808, 0.16426098354, 0.000591167810001, 0.05063202398, 0.03313693999, 0.02919430851, 0.01583708895, 0.06646985494, 0.25076862305, 0.29442631952, 0.16591336331, 0.05240737585, 0.13450870946, 0.19253932052, -0.00242401439
Au_fcc, 4.061, 0.01127272278, 0.04273193527, 0.11358992837, 0.15206950179, 0.03175347507, 0.06454610462, 0.06301977207, 0.03302393995, 0.03318791215, 0.04737194506, 0.23758855942, 0.30759399652, 0.16955527333, 0.07365478686, 0.14910866187, 0.18506323776, -0.00092560369
Al_fcc, 4.019, -0.03150072001, -0.00015559179, 0.0249328369, 0.04997532325, -0.0035616377, -0.00219741792, -0.00161003079, 0.01558787965, 0.00173133937, -0.02226709199, 0.08704476983, 0.05761048469, 0.06027722454, 0.02640307312, 0.05689761471, 0.02451451328, -0.00673013184
Pb_fcc, 4.912, -0.02345359654, 0.02871313308, 0.13418463922, 0.20051588213, 0.03445420651, 0.08280923522, 0.07701633115, 0.02632321664, 0.01501197518, 0.04505757501, 0.24749249038, 0.3195685237, 0.16864285116, 0.04322494274, 0.1356931183, 0.20117277141, -0.03824581672
C_diamond, 3.555, -0.02182821337, 0.00020305507, 0.01783549957, 0.03485192587, 0.00600552173, 0.00765608351, 0.0155107842, -0.00211898106, -0.00451918446, -0.00510077556, 0.04312342505, 0.04689510348, 0.02745534716, 0.00664218988, 0.01956664589, 0.01613543225, -0.02352912994
Si_diamond, 5.422, -0.0155622088, 0.01649641787, 0.05352694423, 0.08593248848, 0.02493335855, 0.03346567541, 0.03879180183, 0.02883220913, 0.01450074745, 0.00855987642, 0.10738274457, 0.1245691071, 0.07562002713, 0.03099100581, 0.05956378563, 0.05295738902, -0.00659920906
Ge_diamond, 5.644, -0.01205364749, 0.04024622335, 0.1223979497, 0.17642804804, 0.04814867457, 0.07956721323, 0.08802903377, 0.05013248273, 0.02985883823, 0.02719850876, 0.22348730221, 0.29875795863, 0.15624733553, 0.05878721415, 0.12875960313, 0.14694463649, -0.01615156325
Sn_diamond, 6.476, 0.00283456663, 0.06858841623, 0.18095728052, 0.25807362441, 0.0914532802, 0.14563056722, 0.13793913603, 0.08243950544, 0.06279989023, 0.09729665763, 0.30462341468, 0.39441230316, 0.22332030189, 0.104333144, 0.1877199518, 0.25250771422, 0.02653170491
LiH_b1, 3.979, -0.03834121012, 0.04125776645, 0.04782186135, 0.10286661933, 0.04062056249, 0.08129509213, 0.03687454259, -0.00017792232, 0.01408277365, 0.06009216639, 0.09949890126, 0.05796897141, 0.07504049971, 0.07919406113, 0.05965840099, 0.04921549794, 0.02845856817
LiF_b1, 3.974, -0.01148585101, 0.09219131211, 0.12350533719, 0.20110272602, 0.10738032506, 0.14251689961, 0.11806614087, 0.03404821586, 0.05324672342, 0.0718240098, 0.16296018279, 0.09993034821, 0.12021728031, 0.09940514573, 0.08945456616, 0.13190098759, 0.03728208453
LiCl_b1, 5.072, -0.08165935903, 0.01938819601, 0.08535750023, 0.18207128955, 0.04897190494, 0.09072883058, 0.04745129997, 0.0275971024, 0.01797118965, 0.04410496212, 0.17089131885, 0.14678943735, 0.10736973674, 0.04139450716, 0.07484688351, 0.07773210268, 0.01016187884
NaF_b1, 4.57, -0.02131496455, 0.07926916455, 0.12356737935, 0.21736505118, 0.08721458679, 0.12933404542, 0.09290547149, 0.03116495165, 0.04414306716, 0.01502240681, 0.17065821908, 0.11818889234, 0.1253471799, 0.10387262005, 0.09858726457, 0.14946699, 0.01230160189
NaCl_b1, 5.565, -0.06778374835, 0.0426472896, 0.12160740381, 0.25060167225, 0.05930236362, 0.12392631412, 0.07394606088, 0.03743912577, 0.02453759445, 0.0182833567, 0.21480833255, 0.16679866921, 0.13652080596, 0.07498871959, 0.09923524274, 0.13494914572, 0.00344864615
MgO_b1, 4.188, 0.00506215999, 0.04826493059, 0.07814346574, 0.11353335729, 0.05160477706, 0.06086955851, 0.04760121009, 0.02928984835, 0.02766113092, 0.01870343117, 0.1167920934, 0.12426939481, 0.09023001893, 0.05987658121, 0.07484844976, 0.09209097799, 0.00481058395
MgS_b1, 5.188, -0.03737654206, 0.00451032036, 0.04838949786, 0.09125651615, 0.02151303112, 0.03582715733, 0.02309828659, 0.01820199559, 0.00050434914, -0.00144991176, 0.11259681024, 0.13521242056, 0.07287140029, 0.02086839249, 0.05640714722, 0.06442886986, -0.01204204526
CaO_b1, 4.781, -0.04913084519, 0.01024796516, 0.07176760845, 0.13146113006, 0.04797415801, 0.07942389475, 0.05022523044, 0.04404390858, 0.03194065937, 0.05301704163, 0.10657399409, 0.10608904366, 0.06028250279, 0.00159436184, 0.03105711888, 0.09354502417, 0.00549303883
TiC_b1, 4.318, -0.04941663333, -0.01672490372, 0.02109005443, 0.04825969637, 0.00633484671, 0.02597096921, 0.01706261533, 0.02066686727, 0.01160649198, 0.00782213186, 0.0711546437, 0.08868668224, 0.04056131679, -0.00437636617, 0.02782449148, 0.0239648068, -0.0089394908
TiN_b1, 4.226, -0.04587346938, -0.01300205002, 0.0275757699, 0.05529305761, 0.01263173218, 0.02993210648, 0.01933945858, 0.01862337993, 0.00995593263, 0.00928938361, 0.0750647618, 0.1006088125, 0.04431745779, -0.00208417035, 0.03102831849, 0.03505388197, -0.01123239132
ZrC_b1, 4.687, -0.0381992102, -0.01111724992, 0.02849430116, 0.05229197667, 0.01289455581, 0.03848987463, 0.02656437674, 0.02119568082, 0.01127590067, 0.00900951252, 0.0700371872, 0.09746921042, 0.04169482351, -0.00230877784, 0.03061242065, 0.02993788848, -0.0154929143
ZrN_b1, 4.576, -0.03992735192, -0.01307420144, 0.02908923287, 0.05277361096, 0.01281286221, 0.03521047903, 0.02241834867, 0.01225318306, 0.00411208997, 0.00162210054, 0.07333691031, 0.10930762637, 0.04187351498, -0.00723965479, 0.02924466108, 0.03539374542, -0.02470263909
VC_b1, 4.148, -0.01219597282, 0.01529946996, 0.04876810149, 0.09714803957, 0.03691371533, 0.0547237738, 0.04895837521, 0.02825585365, 0.02714999108, 0.01673576056, 0.10534234201, 0.11347780386, 0.07959163214, 0.04198232621, 0.06846831443, 0.06295239021, 0.0069679482
VN_b1, 4.13, -0.0274677103, 0.00029858804, 0.03685867328, 0.09547221512, 0.02941407664, 0.04450416095, 0.03680857758, 0.01501585481, 0.01320421323, 0.00527931252, 0.09471483723, 0.10916306898, 0.06704518258, 0.02561403226, 0.05401120206, 0.05381231031, -0.00757153895
NbC_b1, 4.461, -0.00187825704, 0.02833909808, 0.06056456719, 0.0823921129, 0.05030299441, 0.07527358502, 0.06684467865, 0.04712065933, 0.04469806109, 0.02998398624, 0.11890214483, 0.14818486629, 0.09296049947, 0.05362080092, 0.08164478994, 0.08343587413, 0.02605194542
NbN_b1, 4.383, 0.01673508342, 0.05038117288, 0.08674842312, 0.11137699299, 0.08085778086, 0.10497701923, 0.09262049806, 0.06828155804, 0.06763223336, 0.05276597888, 0.14704865987, 0.18045010076, 0.11899814884, 0.07559246579, 0.10597276386, 0.11432479723, 0.0450703249
FeAl_b2, 2.881, -0.05970017268, -0.02609353595, 0.00167515483, 0.02516246487, -0.02353933, -0.00963488371, -0.01837763347, -0.02615657731, -0.02637432772, -0.03551727964, 0.04538853432, 0.04634155067, 0.02432416942, -0.0048585997, 0.01373726514, 0.01687874081, -0.04218184174
CoAl_b2, 2.854, -0.05383344107, -0.0245784046, 0.00324586448, 0.02546886265, -0.0251603141, -0.01093647881, -0.01772502483, -0.02702787403, -0.02654076249, -0.03555659682, 0.04560530752, 0.04941465848, 0.02485644137, -0.00468826414, 0.0145408171, 0.01831844944, -0.04441842061
NiAl_b2, 2.881, -0.04461562409, -0.01489369332, 0.01464833846, 0.03794643949, -0.0170180707, -0.00060100642, -0.00728291998, -0.01597245146, -0.01569867433, -0.02239657118, 0.0586879264, 0.06296521957, 0.03474594723, 0.00137449126, 0.02366130292, 0.03245826394, -0.03478923056
BN_b3, 3.594, -0.01193165791, 0.01308494496, 0.03197871913, 0.05101725109, 0.02338352962, 0.02471848995, 0.02942844987, 0.01090161795, 0.00760488082, 0.00998858433, 0.05529848751, 0.06145280133, 0.03969458599, 0.01957953455, 0.03065634199, 0.03215313957, -0.00909446647
BP_b3, 4.527, -0.03326269171, -0.00363043576, 0.02476408562, 0.05143042458, 0.007567076, 0.01393852116, 0.02217845644, 0.00940046629, 0.00023905855, -0.00362571276, 0.06973287946, 0.07820557133, 0.0438637581, 0.00898722288, 0.0321680647, 0.02677364667, -0.020156065
BAs_b3, 4.764, -0.02457552666, 0.01106420585, 0.05185934532, 0.08383136405, 0.02003641742, 0.03505812514, 0.0438514259, 0.02449589333, 0.01139643873, 0.00818107373, 0.11104512281, 0.13405492366, 0.07611767501, 0.02651218673, 0.06131017507, 0.06235850757, -0.01357661004
AlN_b3, 4.368, -0.01451369772, 0.02092022588, 0.04621749057, 0.07371840955, 0.03434689984, 0.03331116545, 0.03601044755, 0.01383971575, 0.01091583973, 0.000850949069999, 0.07726939777, 0.08305303624, 0.05677378903, 0.03166351238, 0.04145792206, 0.05435322179, -0.00974125712
AlP_b3, 5.45, -0.01269993733, 0.02466604739, 0.06217501444, 0.09878237625, 0.04130914002, 0.04893402535, 0.05130468354, 0.03774650287, 0.02390138673, 0.01722215054, 0.11078399481, 0.12211376961, 0.08004663099, 0.03849994255, 0.06211101498, 0.06677331898, 0.00291829898
AlAs_b3, 5.649, -0.01244291866, 0.03377322043, 0.08726600703, 0.13122591779, 0.04487823453, 0.06753642743, 0.06688382792, 0.05210475721, 0.03442586529, 0.02551325611, 0.15157908033, 0.18643677409, 0.10959955466, 0.05048348824, 0.08608288295, 0.1051056483, 0.00499810183
GaN_b3, 4.523, -0.00275037154, 0.03812426558, 0.08099504206, 0.1138186115, 0.06010809309, 0.07244735624, 0.07279223044, 0.0449315596, 0.03864662793, 0.02409757249, 0.12410967883, 0.14610288401, 0.09263669883, 0.04854151963, 0.07438374215, 0.08779808308, 0.00322725903
GaP_b3, 5.441, -0.00543584112, 0.04095090112, 0.10342507783, 0.15064454361, 0.06715384764, 0.08830914925, 0.09141980382, 0.0654980806, 0.04982189597, 0.03862299736, 0.18346608189, 0.21018928675, 0.13336993885, 0.0605294155, 0.10986944533, 0.1110218893, 0.01022941597
GaAs_b3, 5.641, -0.008347551, 0.04683902688, 0.12781600771, 0.18466353856, 0.06422957783, 0.10136986466, 0.10110699681, 0.06390719538, 0.04415906766, 0.04133129585, 0.22862391387, 0.2828084091, 0.16404109796, 0.06929222946, 0.134173583, 0.15165611916, -0.0017026916
InP_b3, 5.858, -0.02273198627, 0.02894176411, 0.10761120039, 0.16606832687, 0.06837973185, 0.10336213864, 0.0961783027, 0.06711414556, 0.05176336346, 0.06044551691, 0.21935780678, 0.25789992103, 0.15764777359, 0.06681254441, 0.13018295925, 0.1391156373, 0.02059535964
InAs_b3, 6.048, -0.01478391895, 0.0462342855, 0.14292520699, 0.21155979059, 0.07442048154, 0.12689796389, 0.115822363, 0.07074333539, 0.05133345697, 0.07243858514, 0.24066206502, 0.30098484622, 0.17390462582, 0.07358995432, 0.14366213548, 0.19239960201, 0.01411825596
SiC_b3, 4.348, -0.01002572571, 0.0178881451, 0.04112485369, 0.06329934236, 0.02110494403, 0.01980749416, 0.02919959222, 0.02513546784, 0.01575828885, 0.00683333946, 0.07448638716, 0.08534739823, 0.05465495162, 0.02843431192, 0.043193066, 0.04088410147, -0.0036431024
